Image Compression,256,1.60392,
3D Rendering,4,0.156813,
3D Rendering,2,0.0940783,
Optical Flow,1,0.698925,
Optical Flow,2,0.904984,
Lenet,512,0.684381,
Lenet,256,0.513531,
Digit Recognition,1,4.68669,
Digit Recognition,1,4.64402,
3D Rendering,4,0.211011,
Image Scaling,1,3.12449,
Image Compression,512,2.96241,
Optical Flow,2,2.20893,
Image Compression,64,0.490362,
Lenet,16,0.218147,
Digit Recognition,1,4.5791,
Image Compression,128,0.804379,
3D Rendering,2,0.0604112,
Lenet,512,0.523137,
Lenet,1024,0.94056,
Lenet,512,0.817094,
3D Rendering,2,0.107401,
Image Scaling,2,4.99028,
Image Scaling,1,3.08548,
Lenet,1024,1.11993,
Lenet,256,0.265723,
Image Compression,1024,5.83213,
Image Compression,512,4.76879,
Optical Flow,1,3.40162,
Image Compression,512,4.54188,
Optical Flow,2,3.83191,
3D Rendering,4,0.953683,
Optical Flow,1,0.697389,
Optical Flow,2,0.871986,
Image Scaling,2,6.58367,
Optical Flow,1,0.745617,
Digit Recognition,1,4.56209,
Image Scaling,2,4.96977,
Digit Recognition,1,4.58964,
Digit Recognition,1,4.56759,
Lenet,512,0.91802,
Image Compression,8,0.397321,
Optical Flow,1,0.840531,
Image Compression,256,1.34925,
3D Rendering,2,0.162635,
Image Compression,512,2.7933,
Image Scaling,1,3.15599,
Lenet,512,0.859449,
Image Scaling,1,3.17182,
3D Rendering,2,0.195824,
3D Rendering,4,0.516002,
Image Scaling,2,5.2136,
Image Scaling,2,5.18508,
Lenet,512,1.0508,
Digit Recognition,1,4.6534,
Image Compression,256,1.9662,
Image Scaling,2,5.06163,
Lenet,1024,1.98862,
Image Scaling,2,4.99691,
Image Scaling,2,5.02289,
Optical Flow,1,0.814641,
Image Scaling,2,4.97703,
Lenet,1024,1.37407,
Image Scaling,1,2.99302,
3D Rendering,4,0.174693,
Lenet,1024,1.41705,
Image Scaling,2,4.93181,
Digit Recognition,1,4.73945,
Image Compression,512,3.53281,
Image Compression,256,3.52718,
Image Scaling,4,8.79109,
Optical Flow,2,1.36106,
Image Compression,128,0.913821,
Digit Recognition,1,6.24113,
Lenet,512,0.750799,
3D Rendering,2,0.160681,
Digit Recognition,1,4.74018,
Digit Recognition,1,4.54907,
Image Scaling,2,4.9924,
Digit Recognition,1,4.54848,
3D Rendering,2,0.0604671,
3D Rendering,4,0.0919645,
Image Scaling,2,4.92482,
Optical Flow,2,0.885516,
3D Rendering,1,0.0443621,
Lenet,1024,2.95957,
Image Compression,1024,5.68111,
Lenet,512,2.84241,
3D Rendering,4,0.0962116,
Digit Recognition,1,5.7211,
Image Scaling,1,4.25673,
Image Compression,1024,6.17588,
Optical Flow,2,2.43287,
Lenet,512,1.16102,
Optical Flow,1,0.667271,
Lenet,1024,1.18027,
Digit Recognition,1,7.28374,
Image Scaling,2,4.92451,
Digit Recognition,1,4.50833,
Image Scaling,1,3.02123,
Optical Flow,2,0.948168,
Image Scaling,2,4.93074,
Image Compression,512,2.93764,
Digit Recognition,1,4.61214,
Image Compression,256,2.99761,
Lenet,1024,2.22793,
Optical Flow,2,1.06209,
