Image Compression,256,2.9028,
3D Rendering,4,0.659452,
3D Rendering,2,0.248306,
Optical Flow,1,1.06892,
Optical Flow,2,1.05678,
Lenet,512,1.28849,
Digit Recognition,1,4.90349,
Digit Recognition,1,4.93038,
Lenet,256,0.896086,
Image Scaling,1,3.79479,
3D Rendering,4,0.482328,
Image Compression,512,5.31893,
Optical Flow,2,1.54074,
Digit Recognition,1,5.00458,
Image Compression,64,1.98307,
Lenet,16,0.775057,
Image Compression,128,1.13126,
3D Rendering,2,0.0594473,
Lenet,512,0.523124,
Lenet,1024,0.978205,
Image Scaling,2,5.39918,
Lenet,512,0.983628,
Image Scaling,1,3.40104,
3D Rendering,2,0.25041,
Lenet,1024,1.36155,
Lenet,256,0.299328,
Image Compression,512,4.22847,
Image Compression,1024,6.80273,
Optical Flow,1,3.82182,
Image Compression,512,5.92882,
Optical Flow,2,2.1119,
Image Scaling,2,5.7579,
3D Rendering,4,1.39572,
Optical Flow,1,0.886083,
Optical Flow,2,1.06657,
Digit Recognition,1,4.51654,
Optical Flow,1,0.983036,
Image Scaling,2,5.48038,
Digit Recognition,1,4.71149,
Digit Recognition,1,4.71414,
Lenet,512,0.488408,
Image Compression,8,0.0621489,
Optical Flow,1,0.66615,
Image Compression,256,1.3439,
Image Compression,512,2.67775,
3D Rendering,2,0.0667024,
Image Scaling,1,3.13256,
Image Scaling,1,3.35677,
Lenet,512,0.828522,
3D Rendering,2,0.205007,
Image Scaling,2,5.06797,
Image Scaling,2,5.64824,
3D Rendering,4,0.219393,
Digit Recognition,1,4.64885,
Lenet,512,1.04886,
Image Scaling,2,5.41169,
Image Scaling,2,5.29782,
Image Compression,256,2.12968,
Lenet,1024,2.96777,
Image Scaling,2,5.52018,
Image Scaling,2,4.9427,
Optical Flow,1,0.811441,
Image Scaling,1,3.08753,
Lenet,1024,1.66895,
Image Scaling,2,5.0633,
3D Rendering,4,0.0910413,
Lenet,1024,1.49324,
Image Scaling,4,9.10072,
Digit Recognition,1,4.79449,
Image Compression,512,3.85174,
Image Compression,256,3.78979,
Digit Recognition,1,6.47766,
Optical Flow,2,1.79792,
Digit Recognition,1,4.7535,
Image Compression,128,1.1817,
Lenet,512,0.835456,
3D Rendering,2,0.229297,
Digit Recognition,1,4.53529,
Image Scaling,2,5.12424,
Digit Recognition,1,4.67519,
Image Scaling,2,4.92491,
3D Rendering,2,0.0595687,
3D Rendering,4,0.0909184,
Optical Flow,2,0.868026,
3D Rendering,1,0.0436674,
Image Compression,1024,6.20416,
Lenet,1024,2.36502,
Lenet,512,2.45911,
Digit Recognition,1,5.22596,
3D Rendering,4,0.106987,
Image Compression,1024,6.71239,
Image Scaling,1,3.95774,
Digit Recognition,1,6.99609,
Optical Flow,2,3.065,
Lenet,512,2.1696,
Optical Flow,1,0.716979,
Lenet,1024,1.14204,
Image Scaling,2,4.92484,
Digit Recognition,1,4.62433,
Image Scaling,1,3.38519,
Optical Flow,2,0.86696,
Image Scaling,2,4.93064,
Digit Recognition,1,4.6659,
Image Compression,512,3.05468,
Image Compression,256,3.19543,
Lenet,1024,2.28429,
Digit Recognition,1,4.77785,
Image Scaling,2,5.25793,
Optical Flow,2,1.16928,
Lenet,256,0.619593,
