Image Compression,256,1.5144,
3D Rendering,4,0.155963,
3D Rendering,2,0.0594822,
Optical Flow,1,0.853488,
Optical Flow,2,0.961358,
Lenet,512,1.02515,
Digit Recognition,1,4.66031,
Digit Recognition,1,7.66797,
Lenet,256,6.43823,
Image Scaling,1,8.06992,
3D Rendering,4,6.66101,
Image Compression,512,7.83138,
Optical Flow,2,7.20276,
Digit Recognition,1,10.2108,
Image Compression,64,9.06534,
Lenet,16,7.62297,
Image Compression,128,6.8216,
3D Rendering,2,5.38141,
Lenet,512,4.37754,
Lenet,1024,3.85551,
Image Scaling,2,5.04614,
Lenet,512,4.04157,
Image Scaling,1,5.55673,
3D Rendering,2,4.11632,
Lenet,1024,3.55699,
Lenet,256,2.32551,
Image Compression,1024,6.14175,
Image Compression,512,7.31054,
Optical Flow,1,6.43385,
Image Compression,512,7.60692,
Optical Flow,2,6.97677,
Image Scaling,2,10.4017,
3D Rendering,4,8.99242,
Optical Flow,1,8.11579,
Optical Flow,2,7.48615,
Digit Recognition,1,10.4943,
Optical Flow,1,9.6177,
Image Scaling,2,13.0428,
Digit Recognition,1,16.0472,
Digit Recognition,1,19.055,
Lenet,512,0.488597,
Image Compression,8,0.0620948,
Optical Flow,1,0.62367,
Image Compression,256,1.34591,
Image Compression,512,2.66975,
3D Rendering,2,1.22926,
Image Scaling,1,2.99252,
Image Scaling,1,4.48462,
Lenet,512,3.47092,
3D Rendering,2,2.0306,
Image Scaling,2,5.45134,
Image Scaling,2,8.87661,
3D Rendering,4,7.46843,
Digit Recognition,1,10.4764,
Lenet,512,9.4953,
Image Scaling,2,12.9209,
Image Scaling,2,16.3457,
Image Compression,256,16.1904,
Lenet,1024,15.696,
Image Scaling,2,19.1209,
Image Scaling,2,4.92565,
Optical Flow,1,4.04961,
Image Scaling,1,5.54187,
Lenet,1024,5.01105,
Image Scaling,2,8.43609,
3D Rendering,4,7.02957,
Lenet,1024,6.47018,
Image Scaling,4,13.7604,
Digit Recognition,1,16.7682,
Image Compression,512,17.9376,
Image Compression,256,17.7829,
Digit Recognition,1,20.7907,
Optical Flow,2,20.1613,
Digit Recognition,1,23.1692,
Image Compression,128,22.3528,
Lenet,512,21.371,
3D Rendering,2,19.9319,
Digit Recognition,1,22.9399,
Image Scaling,2,26.3651,
Digit Recognition,1,29.3727,
Image Scaling,2,4.92483,
3D Rendering,2,3.4843,
3D Rendering,4,2.07504,
Optical Flow,2,1.44567,
3D Rendering,1,0.0436581,
Image Compression,1024,5.31655,
Lenet,1024,4.7504,
Lenet,512,3.73361,
Digit Recognition,1,6.74109,
3D Rendering,4,5.33201,
Image Compression,1024,9.14874,
Image Scaling,1,10.6409,
Digit Recognition,1,13.6483,
Optical Flow,2,13.0182,
Lenet,512,12.0431,
Optical Flow,1,11.1668,
Lenet,1024,10.6076,
Image Scaling,2,14.0325,
Digit Recognition,1,17.0401,
Image Scaling,1,18.5325,
Optical Flow,2,0.870378,
Image Scaling,2,4.92523,
Digit Recognition,1,7.93318,
Image Compression,512,9.10298,
Image Compression,256,8.96863,
Lenet,1024,8.43209,
Digit Recognition,1,11.4399,
Image Scaling,2,14.8651,
Optical Flow,2,14.2353,
Lenet,256,13.0392,
Image Compression,1024,16.8513,
Digit Recognition,1,19.8593,
Digit Recognition,1,22.8676,
3D Rendering,4,21.4598,
Optical Flow,1,20.5828,
Image Scaling,1,22.0755,
Image Compression,1024,25.89,
Optical Flow,1,25.0136,
Image Scaling,1,26.506,
Digit Recognition,1,29.5141,
Image Compression,512,2.66878,
Lenet,128,1.3222,
Image Compression,1024,5.31535,
Optical Flow,1,4.439,
Image Scaling,2,7.86389,
Digit Recognition,1,10.8714,
Image Scaling,2,14.297,
Image Scaling,2,17.7228,
Digit Recognition,1,20.7306,
Image Compression,128,19.914,
Lenet,512,18.9368,
Image Scaling,2,22.362,
Digit Recognition,1,25.3694,
Lenet,1024,24.8424,
Optical Flow,1,23.9664,
3D Rendering,4,22.5574,
Image Compression,32,21.2625,
Optical Flow,1,20.3854,
Image Compression,512,21.5523,
Optical Flow,1,20.6761,
3D Rendering,4,0.138309,
Optical Flow,2,0.965128,
Optical Flow,2,0.869437,
Image Compression,1024,5.47321,
Digit Recognition,1,8.49756,
Lenet,512,7.65921,
Image Compression,512,8.82611,
Image Scaling,2,12.2873,
Lenet,256,11.0616,
Optical Flow,2,10.4343,
3D Rendering,4,9.02496,
3D Rendering,2,7.58436,
Image Compression,512,8.73178,
3D Rendering,4,7.32252,
Image Scaling,2,10.7478,
Optical Flow,2,10.1206,
Image Compression,1024,13.9371,
Digit Recognition,1,16.945,
Digit Recognition,1,19.9529,
Image Scaling,1,21.4447,
3D Rendering,4,0.0912941,
Image Compression,128,0.68387,
Optical Flow,1,0.625322,
Image Compression,1024,5.32038,
Lenet,256,4.08439,
3D Rendering,1,2.6289,
Image Compression,512,3.82178,
Image Scaling,2,7.24669,
Image Compression,256,7.09331,
Optical Flow,2,6.4667,
Lenet,1024,5.93887,
Digit Recognition,1,8.96852,
3D Rendering,1,7.51234,
Digit Recognition,1,10.5199,
Image Scaling,2,13.9449,
Image Compression,512,15.1183,
3D Rendering,2,13.679,
Digit Recognition,1,16.6879,
Digit Recognition,1,19.6955,
3D Rendering,4,18.2877,
3D Rendering,1,0.0445416,
3D Rendering,2,0.0594928,
Image Compression,128,0.683548,
Lenet,1024,0.983064,
Digit Recognition,1,4.50771,
Image Compression,256,4.35301,
3D Rendering,2,2.91243,
Optical Flow,1,2.03857,
3D Rendering,1,0.582329,
Optical Flow,1,0.625524,
Optical Flow,2,0.873055,
Image Scaling,1,2.99235,
Image Compression,512,4.16378,
Digit Recognition,1,7.16722,
Lenet,512,6.1929,
Optical Flow,2,5.56591,
Optical Flow,1,4.69146,
Lenet,32,3.25958,
Optical Flow,1,2.38536,
Image Scaling,2,5.81062,
