Image Compression,256,1.34735,
3D Rendering,4,0.0909478,
3D Rendering,2,0.0592066,
Optical Flow,1,0.623988,
Optical Flow,2,0.875342,
Lenet,512,0.72533,
Digit Recognition,1,4.59293,
Digit Recognition,1,4.59269,
Lenet,256,3.20036,
Image Scaling,1,4.68093,
3D Rendering,4,0.746067,
Image Compression,512,3.24878,
Optical Flow,2,2.53362,
Digit Recognition,1,4.87907,
Image Compression,64,3.46234,
Lenet,16,2.01342,
Image Compression,128,1.1566,
3D Rendering,2,0.060267,
Lenet,512,0.513747,
Lenet,1024,0.965415,
Image Scaling,2,4.93043,
Lenet,512,3.6096,
Image Scaling,1,4.9298,
3D Rendering,2,1.05145,
Lenet,1024,2.69467,
Lenet,256,1.35047,
Image Compression,1024,5.51895,
Image Compression,512,6.68591,
Optical Flow,1,5.77592,
Image Compression,512,6.55262,
Optical Flow,2,5.87935,
Image Scaling,2,8.63608,
3D Rendering,4,3.04379,
Optical Flow,1,6.20551,
Optical Flow,2,5.23866,
Digit Recognition,1,7.7899,
Optical Flow,1,6.60277,
Image Scaling,2,9.72823,
Digit Recognition,1,8.54927,
Digit Recognition,1,7.33821,
Lenet,512,0.71309,
Image Compression,8,0.290788,
Optical Flow,1,0.727988,
Image Compression,256,1.36652,
Image Compression,512,2.99166,
3D Rendering,2,1.56227,
Image Scaling,1,3.10502,
Image Scaling,1,3.85627,
Lenet,512,2.59532,
3D Rendering,2,0.973515,
Image Scaling,2,5.00989,
Image Scaling,2,7.92666,
3D Rendering,4,2.58656,
Digit Recognition,1,5.56199,
Lenet,512,4.48774,
Image Scaling,2,7.63552,
Image Scaling,2,10.3312,
Image Compression,256,9.08258,
Lenet,1024,8.38006,
Image Scaling,2,11.7616,
Image Scaling,2,4.95328,
Optical Flow,1,3.82622,
Image Scaling,1,5.01154,
Lenet,1024,3.75509,
Image Scaling,2,6.96556,
3D Rendering,4,1.36708,
Lenet,1024,4.85265,
Image Scaling,4,11.6021,
Digit Recognition,1,6.65854,
Image Compression,512,9.10749,
